timestamp,edges_intersection_rate,matched_paths,total_paths
20190121,0.9998822115950906,84888,84898
20190123,0.9689958299160207,83885,86569
20190128,0.8529570752479398,77318,90647
20190129,0.9325538687561215,76171,81680
20190130,0.8551936046663021,32842,38403
20190220,0.6203574674341109,20478,33010
20190225,0.9749426579095238,1058388,1085590
20190226,0.998096128526005,1733680,1736987
20190227,0.9983266479629574,1780263,1783247
20190228,0.9954635753598461,1938734,1947569
20190303,0.9853266400047014,2229941,2263149
20190304,0.9955424516413098,2903178,2916177
20190306,0.9798341229536721,2933884,2994266
20190311,0.9475248951057255,3032200,3200127
20190312,0.9864128847637343,3090618,3133189
20190313,0.9782132292400234,3054552,3122583
20190314,0.9839108417594832,3036279,3085929
20190317,0.9034134253119662,2707203,2996638
20190318,0.9565690335316366,2658379,2779077
20190428,0.7890048571590004,1619868,2053052
20190429,0.9908465952116917,5020587,5066967
20190501,0.9780238079218293,4927682,5038407
20190506,0.915866188818099,4495172,4908110
20190507,0.9772053696896175,4527070,4632670
20190508,0.9704933702546465,4445045,4580191
20190509,0.946713656158351,4219392,4456883
20190617,0.7874154733771281,2808185,3566332
20190618,0.992538598030577,5333560,5373655
20190619,0.9890043452063921,5290296,5349113
20190620,0.987705073554524,5231695,5296819
